lat,lon,depth,starttime,energy,duration 
 47.5, -122.76700000000001, 34.0, 2013-09-08 00:00:00, 0.0, None 
 47.64, -122.84, 33.0, 2013-09-08 00:02:30, 0.0, None 
 47.66, -122.825, 29.5, 2013-09-08 00:05:00, 0.0, None 
 47.66, -122.63, 46.0, 2013-09-08 00:07:30, 0.0, None 
 47.68, -122.86, 60.0, 2013-09-08 00:10:00, 0.0, None 
 47.722, -122.7, 33.0, 2013-09-08 00:12:30, 0.0, None 
 47.69, -122.865, 60.0, 2013-09-08 00:15:00, 0.0, None 
 47.5, -122.88, 20.0, 2013-09-08 00:17:30, 0.0, None 
 47.4, -122.93, 48.0, 2013-09-08 00:22:30, 0.0, None 
 47.59, -122.89, 20.0, 2013-09-08 00:27:30, 0.0, None 
 47.62, -122.94, 42.0, 2013-09-08 00:30:00, 0.0, None 
 47.64, -122.825, 26.0, 2013-09-08 00:32:30, 0.0, None 
 47.665, -122.77799999999999, 30.0, 2013-09-08 00:35:00, 0.0, None 
 47.68, -122.79, 20.0, 2013-09-08 00:37:30, 0.0, None 
 47.0, -121.8, 36.0, 2013-09-08 00:40:00, 0.0, None 
 47.5, -122.9, 33.0, 2013-09-08 00:52:30, 0.0, None 
 47.61, -122.8, 32.5, 2013-09-08 01:00:00, 0.0, None 
 47.62, -122.745, 35.0, 2013-09-08 01:02:30, 0.0, None 
 47.722, -122.795, 37.2, 2013-09-08 01:05:00, 0.0, None 
 47.625, -122.845, 28.0, 2013-09-08 01:07:30, 0.0, None 
 47.62, -122.835, 27.0, 2013-09-08 01:10:00, 0.0, None 
 47.62, -122.8, 27.0, 2013-09-08 01:12:30, 0.0, None 
 47.61, -122.79, 28.0, 2013-09-08 01:15:00, 0.0, None 
 47.73, -122.79, 20.0, 2013-09-08 01:17:30, 0.0, None 
 47.405, -122.65299999999999, 26.8, 2013-09-08 01:25:00, 0.0, None 
 47.405, -122.675, 23.2, 2013-09-08 01:27:30, 0.0, None 
 47.43, -122.725, 20.0, 2013-09-08 01:30:00, 0.0, None 
 47.477, -122.845, 42.2, 2013-09-08 01:32:30, 0.0, None 
 47.45, -122.81, 28.0, 2013-09-08 01:35:00, 0.0, None 
 47.485, -122.94, 35.8, 2013-09-08 01:37:30, 0.0, None 
 47.505, -122.83, 20.0, 2013-09-08 01:42:30, 0.0, None 
 47.525, -122.82, 29.0, 2013-09-08 01:47:30, 0.0, None 
 47.33, -123.01, 60.0, 2013-09-08 01:57:30, 0.0, None 
 47.53, -123.06, 54.0, 2013-09-08 02:07:30, 0.0, None 
 47.51, -123.04, 20.0, 2013-09-08 02:10:00, 0.0, None 
 47.57, -122.82, 21.0, 2013-09-08 02:12:30, 0.0, None 
 47.58, -122.81, 30.0, 2013-09-08 02:15:00, 0.0, None 
 47.5, -122.67, 30.0, 2013-09-08 02:17:30, 0.0, None 
 47.505, -122.88, 40.0, 2013-09-08 02:20:00, 0.0, None 
 47.47, -122.81200000000001, 32.0, 2013-09-08 02:22:30, 0.0, None 
 47.49, -122.805, 43.5, 2013-09-08 02:25:00, 0.0, None 
 47.49, -122.795, 40.5, 2013-09-08 02:27:30, 0.0, None 
 47.43, -122.8, 27.0, 2013-09-08 02:30:00, 0.0, None 
 47.69, -122.99, 60.0, 2013-09-08 02:35:00, 0.0, None 
 47.51, -122.77, 28.0, 2013-09-08 02:40:00, 0.0, None 
 47.5, -122.8, 27.5, 2013-09-08 02:42:30, 0.0, None 
